Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Contract Number,Project Code,Expenditure Type
Department for Business & Trade,Department for Business & Trade,10/11/2025,Other Professional Services,DBT - Business Group - DBT - BG - Business Intelligence & Engagement,39 Essex Chambers LLP,736931,"37,109.87",,WC2R 3AT,,,
Department for Business & Trade,Department for Business & Trade,04/11/2025,Grant-In-Aid to Arms Length Bodies,"DBT - Competition, Markets and Regulatory Reform (CMRR) - DBT - CMRR - Employment Rights",ACAS,732567,"4,500,000.00",,E20 1HZ,,,
Department for Business & Trade,Department for Business & Trade,11/11/2025,Other ICT Costs,"DBT - Corporate Services - DBT - CS - Digital, Data and Technology",Actica Consulting Ltd,737278,"56,330.00",,GU2 7RF,,,
Department for Business & Trade,Department for Business & Trade,12/11/2025,Other ICT Costs,"DBT - Corporate Services - DBT - CS - Digital, Data and Technology",Actica Consulting Ltd,737283,"62,387.75",,GU2 7RF,,,
Department for Business & Trade,Department for Business & Trade,06/11/2025,Legal Costs,DBT - Business Group - DBT - BG - Post Office,Addleshaw Goddard LLP,736077,"152,740.50",,EC1Y 4AG,,,
Department for Business & Trade,Department for Business & Trade,19/11/2025,Legal Costs,DBT - Business Group - DBT - BG - Post Office,Addleshaw Goddard LLP,739542,"136,799.40",,EC1Y 4AG,,,
Department for Business & Trade,Department for Business & Trade,06/11/2025,Current Grants To Private Sector - NPISH,DBT - Business Group - DBT - BG - Advanced Manufacturing,ADVANCED PROPULSION CENTRE UK LTD,736146,"134,188.05",,CV4 7AL,,,
Department for Business & Trade,Department for Business & Trade,06/11/2025,R & D Current Grants to Private Sector - NPISH,DBT - Business Group - DBT - BG - Advanced Manufacturing,ADVANCED PROPULSION CENTRE UK LTD,736148,"135,854.73",,CV4 7AL,,,
Department for Business & Trade,Department for Business & Trade,06/11/2025,R & D Current Grants to Private Sector - NPISH,DBT - Business Group - DBT - BG - Advanced Manufacturing,ADVANCED PROPULSION CENTRE UK LTD,736156,"67,179.62",,CV4 7AL,,,
Department for Business & Trade,Department for Business & Trade,12/11/2025,R & D Current Grants to Private Sector - NPISH,DBT - Business Group - DBT - BG - Advanced Manufacturing,AEROSPACE TECHNOLOGY INSTITUTE,738505,"1,131,400.00",,MK43 0TR,,,
