Family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier post code,Supplier type
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Grant in Aid Funding (Cash) - ENDPBs,Default Group,CARE QUALITY COMMISSION (CQC) CQC033,PF00028201,"£3,300,000.00",Grant in Aid Funding (Cash) - ENDPBs,NE1 4PA,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Grant in Aid Funding (Cash) - ENDPBs,Default Group,HEALTH RESEARCH AUTHORITY,PF00028202,"£2,000,000.00",Grant in Aid Funding (Cash) - ENDPBs,SE1 6LH,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Grant in Aid Funding (Cash) - ENDPBs,Default Group,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PF00028203,"£6,000,000.00",Grant in Aid Funding (Cash) - ENDPBs,SE1 7NT,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Grant in Aid Funding (Cash) - ENDPBs,Default Group,NHS ENGLAND CBA033,PF00028204,"£3,310,578,000.00",Grant in Aid Funding (Cash) - ENDPBs,LS2 7UE,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Grant in Aid Funding (Cash) - ENDPBs,Default Group,NHS ENGLAND CBA033,PF00028205,"£12,407,019,000.00",Grant in Aid Funding (Cash) - ENDPBs,LS2 7UE,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Grant in Aid Funding (Cash) - ENDPBs,Default Group,THE HEALTH SERVICES SAFETY INVESTIGATIONS BODY,PF00028206,"£500,000.00",Grant in Aid Funding (Cash) - ENDPBs,BH16 6FA,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Parliamentary Funding (Cash) - SpHAs/Exec Agency,Default Group,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,PF00028208,"£8,600,000.00",Parliamentary Funding (Cash) - SpHAs/Exec Agency,SW1W 9SZ,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Parliamentary Funding (Cash) - SpHAs/Exec Agency,Default Group,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PF00028207,"£45,000,000.00",Parliamentary Funding (Cash) - SpHAs/Exec Agency,NE15 8NY,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Parliamentary Funding (Cash) - SpHAs/Exec Agency,Default Group,NHS COUNTER FRAUD AUTHORITY,PF00028209,"£1,750,000.00",Parliamentary Funding (Cash) - SpHAs/Exec Agency,SE1 6LH,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Parliamentary Funding (Cash) - SpHAs/Exec Agency,Default Group,UK HEALTH SECURITY AGENCY (UKHSA),PF00028210,"£72,000,000.00",Parliamentary Funding (Cash) - SpHAs/Exec Agency,SP4 0JG,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST RY3,PF00028222,"£47,000.00",Additions NCB PDC,NR1 3FR,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,PF00028227,"£49,000.00",Additions NCB PDC,NE27 0QJ,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,PF00028223,"£60,000.00",Additions NCB PDC,M5 5ap,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PF00028217,"£80,000.00",Additions NCB PDC,ME16 9QQ,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,CROYDON HEALTH SERVICES NHS TRUST,PF00028214,"£100,000.00",Additions NCB PDC,CR7 7YE,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,PF00028230,"£114,000.00",Additions NCB PDC,NW3 5BA,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,PF00028236,"£155,000.00",Additions NCB PDC,WD18 0HB,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,PF00028224,"£189,000.00",Additions NCB PDC,M5 5ap,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST RY3,PF00028221,"£200,000.00",Additions NCB PDC,NR1 3FR,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,PF00028235,"£213,000.00",Additions NCB PDC,WD18 0HB,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,PF00028226,"£254,000.00",Additions NCB PDC,M5 5ap,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PF00028218,"£281,000.00",Additions NCB PDC,CW1 4QJ,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,BOLTON NHS FOUNDATION TRUST,PF00028211,"£300,000.00",Additions NCB PDC,BL4 0JR,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,SALISBURY NHS FOUNDATION TRUST,PF00028229,"£342,000.00",Additions NCB PDC,SP2 8BJ,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PF00028219,"£375,000.00",Additions NCB PDC,CW1 4QJ,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,BOLTON NHS FOUNDATION TRUST,PF00028212,"£483,000.00",Additions NCB PDC,BL4 0JR,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,PF00028215,"£818,000.00",Additions NCB PDC,DT1 2JY,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PF00028220,"£1,875,000.00",Additions NCB PDC,CW1 4QJ,Govn
Department of Health and Social Care,Department of Health and Social Care,03/11/2025,Additions NCB PDC,Finance,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,PF00028228,"£7,400,000.00",Additions NCB PDC,NE27 0QJ,Govn
Department of Health and Social Care,Department of Health and Social Care,04/11/2025,Revenue Policy Payments,Adult Social Care,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),SWB 2025/26,"£10,000,000.00",Revenue Policy Payments,NE15 8NY,Govn
Department of Health and Social Care,Department of Health and Social Care,07/11/2025,Revenue Policy Payments,People,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),LSF 25/26 Q3,"£180,000,000.00",Revenue Policy Payments,NE15 8NY,Govn
Department of Health and Social Care,Department of Health and Social Care,10/11/2025,Additions NCB PDC,Finance,SALISBURY NHS FOUNDATION TRUST,PF00028333,"£191,000.00",Additions NCB PDC,SP2 8BJ,Govn
Department of Health and Social Care,Department of Health and Social Care,17/11/2025,Additions NCB PDC,Finance,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PF00028372,"£46,000.00",Additions NCB PDC,ME16 9QQ,Govn
Department of Health and Social Care,Department of Health and Social Care,17/11/2025,Additions NCB PDC,Finance,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,PF00028400,"£50,000.00",Additions NCB PDC,WD18 0HB,Govn
Department of Health and Social Care,Department of Health and Social Care,17/11/2025,Additions NCB PDC,Finance,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PF00028373,"£1,744,000.00",Additions NCB PDC,ME16 9QQ,Govn
Department of Health and Social Care,Department of Health and Social Care,17/11/2025,Additions NCB PDC,Finance,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,PF00028389,"£2,170,000.00",Additions NCB PDC,NW3 5BA,Govn
Department of Health and Social Care,Department of Health and Social Care,17/11/2025,Additions NCB PDC,Finance,BOLTON NHS FOUNDATION TRUST,PF00028342,"£8,300,000.00",Additions NCB PDC,BL4 0JR,Govn
Department of Health and Social Care,Department of Health and Social Care,18/11/2025,Curr Part of Lns Repay Tfr from Invest (ST) NCB Loan,Finance,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,PF00028294,"-£252,000.00",Curr Part of Lns Repay Tfr from Invest (ST) NCB Loan,NE27 0QJ,Govn
Department of Health and Social Care,Department of Health and Social Care,21/11/2025,Research & development,Commercial and Growth,NHS ENGLAND CBA033,7000059928,"£331,885.00",Research & development,LS2 7UE,Govn
Department of Health and Social Care,Department of Health and Social Care,24/11/2025,Additions NCB PDC,Finance,CROYDON HEALTH SERVICES NHS TRUST,PF00028409,"£100,000.00",Additions NCB PDC,CR7 7YE,Govn
Department of Health and Social Care,Department of Health and Social Care,28/11/2025,Outsourcing Contract,"Technology, Digital and Data",UK HEALTH SECURITY AGENCY (UKHSA),5159158,"£28,920.00",Outsourcing Contract,SP4 0JG,Govn
